cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
prc;fld_s05i205 fld_s05i206;var[0]+var[1];kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;Convective precipitation at surface, includes both liquid and solid phases;convective_precipitation_flux
prc;fld_s05i205 fld_s05i206;var[0]+var[1];kg m-2 s-1;time_0 lat lon;longitude latitude time;3hr;atmos;;;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;Convective precipitation at surface, includes both liquid and solid phases;convective_precipitation_flux
prc;fld_s05i205 fld_s05i206;var[0]+var[1];kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;Convective precipitation at surface, includes both liquid and solid phases;convective_precipitation_flux
pr;fld_s05i216;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;TOTAL PRECIPITATION RATE     KG/M2/S;precipitation_flux
pr;fld_s05i216;;kg m-2 s-1;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;;MIP_AP3hr;CM2;float32;110592;578880;cm000a.p8;TOTAL PRECIPITATION RATE  KG/M2/S;precipitation_flux
pr;fld_s05i216;;kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;TOTAL PRECIPITATION RATE     KG/M2/S;precipitation_flux
prlsns;fld_s04i204;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;LARGE SCALE SNOWFALL RATE    KG/M2/S;stratiform_snowfall_flux
prlsprof;fld_s04i203;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;LARGE SCALE RAINFALL RATE    KG/M2/S;stratiform_rainfall_flux
prra;fld_s05i214;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;TOTAL RAINFALL RATE: LS+CONV KG/M2/S;rainfall_flux
prra;fld_s05i214;;kg m-2 s-1;time_0 lat lon;longitude latitude time;3hr;atmos;area: time: mean;;CMIP6_E3hr;CM2;float32;110592;578880;cm000a.p8;TOTAL RAINFALL RATE: LS+CONV KG/M2/S;rainfall_flux
