cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
sftgif;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],17,landfrac=var[1]);1;time pseudo_level_1 lat lon;longitude latitude time;mon;land;area: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Land Ice Area Percentage;land_ice_area_fraction
shrubFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],[5,8],landfrac=var[1],lev='typeshrub');1;time lat lon;longitude latitude time typeshrub;mon;land;;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Percentage Cover by Shrub;area_fraction
snm;fld_s08i231;;kg m-2 s-1;time lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;ESM1.5;float32;110592;12;cw323a.pm;surface_snow_melt_flux_where_land;
snm;fld_s08i237 fld_s03i317;average_tile(var[0],tilefrac=var[1],lfrac=0);kg m-2 s-1;time lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;ESM1.5;float32;110592;12;cw323a.pm;surface_snow_melt_flux_where_land;
snw;fld_s08i023;;kg m-2;time lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;ESM1.5;float32;110592;12;cw323a.pm;SNOW MASS AFTER HYDROLOGY      KG/M2;surface_snow_amount
snw;fld_s08i236 fld_s03i317;average_tile(var[0],tilefrac=var[1],lfrac=0);kg m-2;time lat lon;longitude latitude time;mon;landIce land;area: time: mean;;MIP_LImon;ESM1.5;float32;110592;12;cw323a.pm;SNOW MASS AFTER HYDROLOGY      KG/M2;surface_snow_amount
treeFracBdlDcd;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],4,landfrac=var[1],lev='typetreebd');1;time pseudo_level_1 lat lon;longitude latitude time typetreebd;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Broadleaf Deciduous Tree Area Percentage;area_fraction
treeFracBdlEvg;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],2,landfrac=var[1],lev='typetreebe');1;time pseudo_level_1 lat lon;longitude latitude time typetreebe;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Broadleaf Evergreen Tree Area Percentage;area_fraction
treeFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],[1,2,3,4],landfrac=var[1],lev='typetree');1;time pseudo_level_1 lat lon;longitude latitude time typetree;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Tree Cover Percentage;area_fraction
treeFracNdlDcd;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],3,landfrac=var[1],lev='typetreend');1;time pseudo_level_1 lat lon;longitude latitude time typetreend;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Needleleaf Deciduous Tree Area Percentage;area_fraction
treeFracNdlEvg;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],1,landfrac=var[1],lev='typetreene');1;time lat lon;longitude latitude time typetreene;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Needleleaf Evergreen Tree Area Percentage;area_fraction
tsl;fld_s08i225;;K;time depth lat lon;longitude latitude sdepth time;mon;land;area: mean where land time: mean;;MIP_LPmon;ESM1.5;float32;663552;12;cw323a.pm;Temperature of Soil;soil_temperature
vegFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],[1,2,3,4,5,6,7,8,9,10,11,12,13],landfrac=var[1],lev='typeveg');1;time lat lon;longitude latitude time typeveg;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Total Vegetated Percentage Cover;area_fraction
wetlandFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],11,landfrac=var[1],lev='typewetla');1;time pseudo_level_1 lat lon;longitude latitude time typewetla;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Wetland Percentage Cover;area_fraction
