cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
prra;fld_s05i214;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;TOTAL RAINFALL RATE: LS+CONV KG/M2/S;rainfall_flux
prsn;fld_s05i215;;kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;AM3;float32;110592;14400;di787a.pd;TOTAL SNOWFALL RATE: LS+CONV KG/M2/S;snowfall_flux
prsn;fld_s05i215;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;TOTAL SNOWFALL RATE: LS+CONV KG/M2/S;snowfall_flux
prw;fld_s30i461;;kg m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;TOTAL COLUMN Q (WATER VAPOUR PATH);
ps;fld_s00i409;;Pa;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
rlds;fld_s02i207;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;AM3;float32;110592;14400;di787a.pd;DOWNWARD LW RAD FLUX: SURFACE;surface_downwelling_longwave_flux_in_air
rlds;fld_s02i207;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;DOWNWARD LW RAD FLUX: SURFACE;surface_downwelling_longwave_flux_in_air
rldscs;fld_s02i208;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;CLEAR-SKY (II) DOWN SURFACE LW FLUX;surface_downwelling_longwave_flux_in_air_assuming_clear_sky
rls;fld_s02i201;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;down;MIP_APday;AM3;float32;110592;14400;di787a.pd;NET DOWN SURFACE LW RAD FLUX;surface_net_downward_longwave_flux
rls;fld_s02i201;;W m-2;time lat lon;longitude latitude time;mon;atmos;area: time: mean;down;MIP_APmon;AM3;float32;110592;480;di787a.pm;NET DOWN SURFACE LW RAD FLUX;surface_net_downward_longwave_flux
rlut;fld_s03i332;;W m-2;time lat lon;longitude latitude time;day;atmos;area: time: mean;up;MIP_APday;AM3;float32;110592;14400;di787a.pd;TOA OUTGOING LW RAD AFTER B.LAYER;toa_outgoing_longwave_flux
